Time,Source Cell ID,Destination Cell ID
1s,19,16
1s,19,13
1s,6,18
1s,15,3
1s,16,4
1s,12,11
1s,12,7
1s,10,19
1s,6,13
1s,16,17
1s,5,16
2s,17,6
2s,12,1
2s,17,6
2s,8,13
3s,14,7
3s,13,8
3s,11,4
4s,2,13
4s,4,3
4s,3,4
4s,8,10
4s,2,10
4s,8,13
4s,4,11
4s,13,10
4s,13,6
5s,9,12
5s,10,12
5s,16,4
5s,5,6
5s,9,16
5s,16,9
6s,13,16
6s,4,3
6s,10,2
6s,4,15
6s,4,16
6s,16,13
6s,6,13
6s,9,17
7s,16,8
7s,18,6
7s,16,4
7s,4,7
7s,19,10
8s,3,12
9s,13,19
9s,1,12
9s,9,8
9s,18,10
9s,19,18
10s,6,10
10s,2,10
10s,18,17
10s,6,5
10s,7,15
10s,17,5
11s,6,5
11s,8,2
11s,8,14
11s,10,2
11s,5,6
11s,12,7
11s,15,14
11s,6,5
12s,3,4
12s,18,7
12s,4,11
12s,16,12
12s,14,7
13s,18,6
13s,12,9
13s,14,15
13s,17,18
14s,16,1
14s,8,2
14s,10,11
14s,7,6
14s,13,16
14s,18,19
14s,7,6
14s,17,9
15s,9,5
15s,12,16
15s,3,2
15s,13,19
16s,1,16
16s,13,3
16s,11,19
16s,12,11
16s,7,15
16s,10,18
16s,19,10
16s,19,11
17s,2,9
17s,10,17
17s,6,12
17s,10,19
17s,16,9
17s,19,1
17s,5,17
18s,11,4
18s,16,4
18s,9,17
19s,9,2
19s,17,6
19s,16,12
19s,15,14
19s,12,6
19s,1,8
19s,17,5
20s,18,5
20s,13,12
20s,14,8
20s,16,12
20s,10,13
20s,5,6
20s,17,16
21s,5,19
21s,9,12
21s,14,13
21s,7,8
21s,8,1
22s,5,6
22s,8,15
22s,13,2
23s,15,8
23s,3,15
23s,2,3
23s,11,10
23s,16,9
23s,7,19
24s,5,18
24s,19,1
24s,9,16
25s,9,2
25s,1,13
25s,5,17
25s,19,7
26s,13,5
26s,10,3
26s,2,3
26s,11,4
26s,14,15
26s,16,9
27s,7,18
27s,15,14
27s,4,7
27s,9,17
27s,10,11
27s,17,16
28s,12,9
